Subject_Code	Activity_Code	tBodyAcc-mean()-X	tBodyAcc-means()-Y	tBodyAcc-std()-X	tBodyAcc-std()-Y	tGravityAcc-mean()-X	tGravityAcc-mean()-Y	tGravityAcc-std()-X	tGravityAcc-std()-Y
3	4	0.257197599	-0.003502998	-0.971010121	-0.856617812	0.901098985	0.127303379	-0.957324458	-0.903923008
3	5	0.280046513	-0.014337656	-0.966742543	-0.893449307	0.935030779	-0.30173513	-0.982020428	-0.957425322
3	6	0.275516853	-0.018955679	-0.982776639	-0.962057545	-0.241758478	0.8370321	-0.982512193	-0.98120275
4	1	0.278582015	-0.014839948	-0.440829971	-0.078826737	0.963999697	-0.085854027	-0.983826495	-0.967963221
4	2	0.270876697	-0.03198043	-0.204933043	-0.066689911	0.946264314	-0.232944305	-0.958495236	-0.923376019
4	3	0.27996533	-0.009802009	0.01119355	-0.218598325	0.947731859	-0.062085277	-0.955258881	-0.932066041
4	4	0.27153828	-0.007163065	-0.980309931	-0.890223981	0.869303006	0.21162254	-0.981405295	-0.932727104
4	5	0.280499746	-0.009489111	-0.97692058	-0.861597379	0.956197791	-0.075900906	-0.972908356	-0.917613465
4	6	0.263559215	-0.015003184	-0.954193739	-0.941714042	-0.420664662	0.915165104	-0.921199966	-0.969816636
5	1	0.277842346	-0.017285032	-0.294098534	0.076748403	0.97262496	-0.100440285	-0.979348381	-0.961585475
5	2	0.26845947	-0.032526976	-0.045723778	0.185022459	0.936821835	-0.265942569	-0.953579969	-0.90051172
5	3	0.293543927	-0.008501075	0.27504611	0.090763076	0.956649353	-0.060757832	-0.950490939	-0.912363421
5	4	0.27369414	-0.009900835	-0.980945022	-0.904335121	0.880731444	0.168445524	-0.983137542	-0.93994298
5	5	0.282544391	-0.007004186	-0.968591816	-0.869439913	0.960188699	-0.038710127	-0.974088206	-0.931973943
5	6	0.278334326	-0.018304212	-0.96593451	-0.969295613	-0.483470598	0.954890346	-0.945695336	-0.985964054
6	1	0.283658868	-0.016895419	-0.296538717	0.164213885	0.958067455	-0.214694852	-0.977779896	-0.964248568
6	2	0.268229355	-0.027242539	-0.050135019	0.189276117	0.913632242	-0.340732609	-0.959399425	-0.912900683
6	3	0.277045258	-0.01953684	0.38368164	0.360164959	0.928531455	-0.214046334	-0.954406268	-0.933577601
6	4	0.276778487	-0.014591162	-0.980164934	-0.923682131	0.933692935	0.068262866	-0.988872369	-0.960875995
6	5	0.280346249	-0.018123633	-0.98175816	-0.921493192	0.945139004	-0.230251036	-0.985583067	-0.968449101
6	6	0.24865652	-0.010252917	-0.934049422	-0.924644826	-0.476709879	0.956593814	-0.88774631	-0.959161956
7	1	0.275592962	-0.018653665	-0.327243241	-0.077261856	0.932566472	-0.159097004	-0.979851271	-0.969404155
7	2	0.248706923	-0.027563901	-0.294872974	-0.326160023	0.81874656	-0.240950944	-0.932823053	-0.939774255
7	3	0.28030708	-0.016633237	0.06608156	-0.138179073	0.930623633	-0.129871673	-0.964875963	-0.952678694
7	4	0.284674637	-0.014610976	-0.972668375	-0.909454699	0.969147824	0.006088466	-0.957082433	-0.945436265
7	5	0.282723539	-0.014574034	-0.97930757	-0.923400922	0.958728688	-0.117607049	-0.987917504	-0.966162999
7	6	0.250176694	-0.020441152	-0.93651361	-0.926262669	-0.502814251	0.393444278	-0.91422127	-0.955543549
8	1	0.27468631	-0.018662887	-0.173605736	0.380782053	0.913586348	-0.217102195	-0.97475205	-0.956781506
8	2	0.258880152	-0.028241514	-0.171712175	0.348768733	0.860368719	-0.291341492	-0.926673288	-0.931032069
8	3	0.283484089	-0.021105867	0.024139347	0.343826273	0.914023498	-0.187610243	-0.945766562	-0.941580934
8	4	0.267491473	-0.006725506	-0.979026152	-0.927331997	0.832453878	0.240095117	-0.966757967	-0.937462301
8	5	0.279620986	-0.014811307	-0.988815418	-0.938479429	0.957669921	-0.090460349	-0.987690217	-0.958904114
8	6	0.261254283	-0.021228173	-0.943041215	-0.93489116	-0.405930036	0.589922435	-0.918873192	-0.957990036
9	1	0.278502842	-0.018089197	-0.238353563	-0.201696961	0.95186708	-0.031434174	-0.980971974	-0.971242423
9	2	0.262436476	-0.01951011	-0.361444378	-0.302206204	0.902647778	-0.037794782	-0.954383557	-0.901317322
9	3	0.295923445	-0.020399427	0.213392271	-0.208310706	0.938417773	-0.035230465	-0.952141221	-0.936306559
9	4	0.248326744	-0.027016777	-0.957227791	-0.875141405	0.916324511	-0.041425823	-0.955280406	-0.94645197
9	5	0.282310057	-0.020045495	-0.975741252	-0.938635759	0.961323502	-0.010383816	-0.98910316	-0.972573868
9	6	0.259195537	-0.020526822	-0.94233309	-0.916292776	-0.580252835	-0.119154196	-0.921821063	-0.969994488
10	1	0.278574077	-0.017022351	-0.178709734	-0.022743165	0.96309215	-0.083827701	-0.974435158	-0.97111472
10	2	0.267121853	-0.014385492	-0.161591924	-0.005552877	0.931861027	-0.056567028	-0.959216072	-0.937039417
10	3	0.290401594	-0.020005077	0.295733548	0.004079154	0.939807421	-0.064616077	-0.939267613	-0.937003824
10	4	0.270612056	-0.015042682	-0.982901826	-0.91797953	0.791887198	-0.041260775	-0.973128354	-0.935690006
10	5	0.276650301	-0.01554186	-0.978403482	-0.919561843	0.954008785	-0.043159783	-0.991259485	-0.975410724
10	6	0.280230574	-0.024294484	-0.968283685	-0.946454302	-0.453069738	-0.139297681	-0.954531942	-0.966701156
11	1	0.271821893	-0.016647583	-0.422842072	-0.052212075	0.946468451	-0.21204587	-0.981101014	-0.966240554
11	2	0.263775859	-0.030315782	-0.238802959	-0.103167502	0.892626156	-0.343576925	-0.953463106	-0.924360833
11	3	0.291605632	-0.017809772	0.142456557	0.070812273	0.941746407	-0.200321943	-0.954497499	-0.92631047
11	4	0.276590197	-0.014919562	-0.982796562	-0.921402118	0.871963798	0.213716306	-0.988069341	-0.949792572
11	5	0.277715563	-0.017199089	-0.994978879	-0.964173332	0.956464536	-0.173082705	-0.994529398	-0.981047829
11	6	0.280592971	-0.017659805	-0.98477733	-0.972196874	-0.134832031	0.943017941	-0.979565602	-0.99076558
12	1	0.277128666	-0.015560928	-0.128898533	-0.12278329	0.966873515	-0.15598345	-0.97911312	-0.964619174
12	2	0.272970339	-0.02635749	-0.290149192	-0.10381826	0.938371473	-0.259144203	-0.96024629	-0.941378352
12	3	0.281521097	-0.018084267	0.042408492	0.110835344	0.949861981	-0.178702175	-0.959504017	-0.943298428
12	4	0.275007225	-0.015789299	-0.982568782	-0.92858124	0.926228975	0.083050901	-0.985203642	-0.963641979
12	5	0.277405835	-0.016900254	-0.981243992	-0.923140254	0.957317822	-0.218865356	-0.98531421	-0.970482615
12	6	0.260113433	-0.017520392	-0.95531868	-0.949072009	-0.378592065	0.803378835	-0.936458309	-0.974396493
13	1	0.27588313	-0.018566065	-0.346980394	0.141866689	0.910855709	-0.283658581	-0.972544922	-0.960899846
13	2	0.25820394	-0.027739225	-0.296284597	0.104470774	0.847634313	-0.357404502	-0.946441502	-0.922054969
13	3	0.294907553	-0.014372384	-0.068156363	-0.032125247	0.94187562	-0.211555113	-0.952643084	-0.928544371
13	4	0.2743285	-0.005877329	-0.989546275	-0.938967742	0.925576512	0.101769752	-0.981379113	-0.951353065
13	5	0.277758431	-0.016789199	-0.991020759	-0.949422439	0.942695297	-0.239943146	-0.992232402	-0.974681226
13	6	0.27671636	-0.020440454	-0.968891989	-0.95094795	-0.156852206	0.656400944	-0.957875245	-0.975948136
14	1	0.271959599	-0.021778538	-0.402639098	-0.053612669	0.802973962	-0.270314823	-0.974816884	-0.954455936
14	2	0.262421066	-0.020438818	-0.309396718	0.307195533	0.688256122	-0.322680365	-0.928523641	-0.907231431
14	3	0.293422116	-0.020014141	0.01783134	0.378870492	0.81629643	-0.264254675	-0.919098794	-0.920725941
14	4	0.279990577	-0.008705655	-0.976302248	-0.914935704	0.93903876	-0.036453396	-0.976280399	-0.950322664
14	5	0.280545614	-0.015207813	-0.973268905	-0.928525725	0.875319569	-0.226692231	-0.972005366	-0.965781048
14	6	0.23327544	-0.011342465	-0.917501887	-0.909697041	-0.145483632	0.485396927	-0.862136937	-0.948774864
15	1	0.273899208	-0.017080974	-0.327961801	0.138912924	0.951524391	-0.233918283	-0.978397288	-0.971056501
15	2	0.270187596	-0.028752386	-0.026097184	-0.00406536	0.918544812	-0.314961013	-0.952562396	-0.927648821
15	3	0.280198851	-0.005630478	0.406471051	0.186532377	0.9323022	-0.167462317	-0.942806478	-0.925685894
15	4	0.27290338	-0.011718847	-0.987084356	-0.922407163	0.890364262	0.210849305	-0.982620884	-0.943561412
15	5	0.278915804	-0.018351636	-0.988949247	-0.931900148	0.9655289	-0.164713175	-0.988432085	-0.965687978
15	6	0.289475653	-0.016629654	-0.972255552	-0.962759422	-0.171993055	0.899242553	-0.961509743	-0.986036192
16	1	0.276023565	-0.020428693	-0.404692524	-0.314569762	0.925981326	-0.066824647	-0.982469595	-0.973784842
16	2	0.255986103	-0.014365495	-0.397083832	-0.163732745	0.826874283	-0.080592603	-0.948413553	-0.933657461
16	3	0.295586802	-0.018389858	0.207251998	-0.146993838	0.917818427	-0.058483268	-0.957785118	-0.955487794
16	4	0.280768574	-0.010249794	-0.986825605	-0.951607872	0.942457378	-0.086588254	-0.980158243	-0.968023207
16	5	0.283497403	-0.016599967	-0.989076812	-0.960298268	0.941587749	-0.057886705	-0.98535969	-0.980552436
16	6	0.274227163	-0.016610351	-0.973691429	-0.94306115	-0.206783742	-0.019927023	-0.963761978	-0.966087104
17	1	0.272341855	-0.01848754	-0.319500173	-0.017579789	0.928112369	-0.179927383	-0.980983352	-0.968613203
17	2	0.252604769	-0.022864561	-0.062952754	-0.013172101	0.853530566	-0.284153753	-0.949460372	-0.915973466
17	3	0.293918283	-0.01673594	0.18771976	-0.060789204	0.928817578	-0.151077058	-0.950026242	-0.946576676
17	4	0.27735702	-0.014156274	-0.994443905	-0.96185863	0.944883748	-0.002814673	-0.990196617	-0.966720106
17	5	0.277942503	-0.017412006	-0.99116392	-0.968176664	0.904678547	-0.257486818	-0.985751366	-0.975810476
17	6	0.269780086	-0.016846201	-0.972960567	-0.944792875	-0.19913309	0.658792072	-0.961063222	-0.961466681
18	1	0.273887759	-0.017802363	-0.376005521	-0.227005875	0.923865249	-0.254317086	-0.983010883	-0.975311659
18	2	0.265401202	-0.022206068	-0.380168287	-0.21115512	0.883330258	-0.316619946	-0.961738807	-0.942056881
18	3	0.288439469	-0.016866692	-0.302634565	-0.254214046	0.932277478	-0.225809125	-0.960404875	-0.932962218
18	4	0.277270019	-0.012869128	-0.994347989	-0.974928131	0.909816469	0.129886476	-0.994043771	-0.984035479
18	5	0.278458806	-0.016635352	-0.992019763	-0.954223436	0.94757324	-0.204206321	-0.994270075	-0.981335942
18	6	0.274691577	-0.017393768	-0.984527649	-0.986160921	-0.220600509	0.719755404	-0.982715988	-0.994093523
19	1	0.273931172	-0.019177359	-0.048904941	0.181801561	0.935222559	-0.2233381	-0.969861463	-0.9586512
19	2	0.242118809	-0.030398662	-0.128742095	0.176349923	0.829428373	-0.387100709	-0.916495992	-0.901044851
19	3	0.262688054	-0.014594228	0.626917071	0.514816446	0.881940855	-0.215018042	-0.899726139	-0.917880864
19	4	0.273830316	-0.01673926	-0.976357663	-0.950388944	0.581371509	0.360343535	-0.96935501	-0.969969814
19	5	0.27817226	-0.015424406	-0.989910997	-0.944430271	0.944045838	-0.223897808	-0.992411542	-0.971426608
19	6	0.272653733	-0.017142686	-0.96501958	-0.973449969	-0.680043155	0.725646623	-0.958959611	-0.98699315
20	1	0.272589336	-0.021199992	-0.208342792	0.489771809	0.899965206	-0.344443913	-0.970327266	-0.962003384
20	2	0.252098317	-0.028225805	-0.116088676	0.152196328	0.777095717	-0.479894843	-0.931405014	-0.924594354
20	3	0.296144421	-0.009641208	0.074509879	0.616937015	0.91972663	-0.277419719	-0.940458075	-0.908577154
20	4	0.278045439	-0.014722931	-0.983081859	-0.936122705	0.924454522	0.073338541	-0.985829034	-0.966983534
20	5	0.278076905	-0.018069505	-0.967209961	-0.875410411	0.911231752	-0.305938717	-0.981916942	-0.957462721
20	6	0.239507882	-0.014440628	-0.962249115	-0.96409818	-0.472431416	0.864882957	-0.928674215	-0.976018477
21	1	0.279183527	-0.018161032	-0.297814844	0.054088051	0.862524801	-0.370984549	-0.969576355	-0.964144521
21	2	0.265194545	-0.02372187	-0.240808282	0.109787469	0.781177211	-0.432309617	-0.940911636	-0.941523624
21	3	0.30146102	-0.017319539	0.224343492	0.3013364	0.872683206	-0.35667329	-0.940194828	-0.940111831
21	4	0.277539617	-0.014400971	-0.991777287	-0.966877561	0.940031368	0.021520671	-0.992936404	-0.979355363
21	5	0.276952243	-0.016708473	-0.981419961	-0.943601625	0.881213342	-0.346155559	-0.982906669	-0.977681416
21	6	0.271325472	-0.018423305	-0.955019866	-0.956959422	-0.174349175	0.599992678	-0.945905271	-0.983732936
22	1	0.27886459	-0.016721361	-0.008659219	0.100384246	0.93609641	-0.259644937	-0.969643448	-0.96363934
22	2	0.248391535	-0.026862256	0.083573864	0.250067524	0.889454383	-0.33682691	-0.94063384	-0.941620222
22	3	0.284458964	-0.019799937	0.348618168	0.239812251	0.921820642	-0.222215179	-0.941242335	-0.945824353
22	4	0.273583823	-0.012346845	-0.978466824	-0.928059134	0.839305929	0.208553884	-0.972009989	-0.954225015
22	5	0.279053862	-0.015856321	-0.985000527	-0.922693288	0.954064298	-0.226418774	-0.992827298	-0.971080743
22	6	0.279959721	-0.014262986	-0.947735252	-0.913276302	-0.418494577	0.632484076	-0.928781249	-0.958826939
23	1	0.273211884	-0.018361871	-0.313521773	-0.119020587	0.939809689	-0.16176137	-0.977230904	-0.966550707
23	2	0.249995171	-0.032384403	-0.243887819	0.044843579	0.84343881	-0.214481808	-0.933344482	-0.910474557
23	3	0.289897411	-0.016211146	0.044139284	0.108259034	0.923711401	-0.110028842	-0.950790837	-0.93901255
23	4	0.273351252	-0.013394502	-0.987607637	-0.934933559	0.936509243	0.121751063	-0.984536722	-0.960917426
23	5	0.277899323	-0.017747555	-0.98542152	-0.958444493	0.919857126	-0.11740136	-0.984610385	-0.984818649
23	6	0.274038008	-0.021655384	-0.956756363	-0.976309827	-0.391564963	0.438434067	-0.947948758	-0.982794563
24	1	0.276980816	-0.02254464	-0.470762366	-0.154127498	0.959701081	-0.115116242	-0.9831324	-0.962578844
24	2	0.269881107	-0.025197943	-0.344399351	-0.116804489	0.906369501	-0.237498409	-0.962190567	-0.91669078
24	3	0.288631209	-0.014573035	-0.082732481	-0.102607327	0.950883417	-0.128326711	-0.961845327	-0.941478979
24	4	0.27347569	-0.01312551	-0.990593767	-0.956255962	0.919637604	0.182254652	-0.98966015	-0.971692545
24	5	0.280348884	-0.014478534	-0.987255871	-0.936871974	0.96644228	-0.145201301	-0.992197592	-0.968155389
24	6	0.272850495	-0.017355521	-0.967984021	-0.983126462	-0.359292534	0.738430699	-0.960412164	-0.993454358
25	1	0.278992759	-0.018647762	-0.596007444	-0.161852412	0.937483114	-0.127315871	-0.979499263	-0.965093441
25	2	0.277995411	-0.026986352	-0.459775646	-0.223086809	0.92769324	-0.217641282	-0.95087845	-0.931758273
25	3	0.291329666	-0.021017052	-0.253756934	-0.140540604	0.929627532	-0.072427018	-0.964470067	-0.937816011
25	4	0.278541482	-0.014769681	-0.991892829	-0.947457617	0.865686078	0.208287142	-0.988879981	-0.963415017
25	5	0.278013702	-0.016356973	-0.991970127	-0.954569226	0.929794733	-0.159316786	-0.993148268	-0.980642971
25	6	0.250791829	-0.018894366	-0.909116474	-0.691770681	-0.461102531	0.62065892	-0.829554948	-0.643578361
26	1	0.279264444	-0.015425959	-0.340185528	-0.136351392	0.960647755	-0.133922185	-0.980055651	-0.969040314
26	2	0.272691395	-0.02816338	-0.169006952	-0.04917263	0.942095257	-0.246169656	-0.962011392	-0.937858158
26	3	0.279284583	-0.01262581	0.17395385	-0.01162991	0.946797272	-0.079900373	-0.962721992	-0.935425855
26	4	0.25824353	-0.007133645	-0.979768988	-0.940798966	0.782955612	0.223105562	-0.965082926	-0.949286701
26	5	0.281127035	-0.016660831	-0.993069369	-0.949466155	0.965460892	-0.140315422	-0.992678782	-0.966986434
26	6	0.271645865	-0.019189573	-0.969445445	-0.983231352	-0.621309715	0.803015012	-0.944472489	-0.987887995
27	1	0.276849485	-0.016647878	-0.348475561	-0.187301215	0.944759287	-0.187497035	-0.979866137	-0.973793
27	2	0.265770254	-0.020095332	-0.295439547	-0.095010408	0.868000279	-0.22927866	-0.956433875	-0.947713379
27	3	0.297544188	-0.013556447	0.167407531	-0.097971003	0.931380179	-0.166938775	-0.946975165	-0.934963993
27	4	0.273941303	-0.01552698	-0.988580108	-0.971579126	0.839464714	0.212947021	-0.982445738	-0.982553337
27	5	0.279566922	-0.016593236	-0.991951584	-0.955171419	0.965351492	-0.188504847	-0.994012163	-0.979641052
27	6	0.274102492	-0.017986761	-0.978455153	-0.983736044	-0.530434605	0.567879494	-0.971183863	-0.993701743
28	1	0.281228224	-0.015675972	-0.293003522	-0.117886186	0.942930276	-0.229316151	-0.976693903	-0.96878086
28	2	0.262005842	-0.027944394	-0.24206243	-0.146753877	0.854508232	-0.333223997	-0.9446978	-0.927641088
28	3	0.293642077	-0.022023047	0.125712888	0.156496647	0.92929168	-0.235897105	-0.956921542	-0.948404212
28	4	0.276977629	-0.018540444	-0.983272807	-0.939905245	0.907331309	-0.112596728	-0.9891325	-0.971766352
28	5	0.277795069	-0.017263512	-0.977748639	-0.875689217	0.948514848	-0.247656167	-0.990059427	-0.962801442
28	6	0.275913483	-0.016753786	-0.968888296	-0.94538678	-0.490334542	0.144073275	-0.970599089	-0.969759029
29	1	0.271999917	-0.01629156	-0.17433794	-0.091754061	0.962374385	-0.127318079	-0.978253539	-0.975272848
29	2	0.265423067	-0.029946531	-0.086771557	-0.122128288	0.929258954	-0.227120125	-0.954189013	-0.923007798
29	3	0.293140441	-0.014941215	0.167383602	-0.122463467	0.948486215	-0.076096295	-0.941736193	-0.913903064
29	4	0.277179978	-0.01663068	-0.99074502	-0.963222498	0.891563755	0.155659457	-0.984679152	-0.97360429
29	5	0.277965066	-0.017260587	-0.996068635	-0.969295721	0.974508732	-0.058487154	-0.996764227	-0.985134032
29	6	0.287295197	-0.017196548	-0.984219556	-0.990240947	-0.346789843	0.807535373	-0.97293989	-0.994247649
30	1	0.276406758	-0.017588039	-0.346394275	-0.173550022	0.965217551	-0.157673824	-0.979752467	-0.970176562
30	2	0.271415642	-0.02533117	-0.350504475	-0.127311158	0.93182983	-0.226647292	-0.954033624	-0.914933936
30	3	0.283190647	-0.01743839	-0.057770316	-0.027262808	0.958000491	-0.126710372	-0.958890389	-0.918678752
30	4	0.268336081	-0.008047313	-0.983622744	-0.937857001	0.825473837	0.114588393	-0.978364712	-0.959361307
30	5	0.277112699	-0.017016389	-0.977559427	-0.891654527	0.968556705	-0.100296804	-0.996420919	-0.958145763
30	6	0.281033901	-0.01944941	-0.976362515	-0.954201824	-0.344737755	0.732661248	-0.979563943	-0.988930715
